entity_id,operatingHRS,brewingCount,cleaningCount,chalkCount,coffeeGrindingCount,product_weightGRM,active_part_weightGRM,max_material_weight_to_part_weight
product-reference-upload-001,160,380,24,12,370,8400,4200,0.62
product-reference-upload-002,210,520,31,18,510,8600,4550,0.68
product-reference-upload-003,260,650,42,24,640,8750,4800,0.71
product-reference-upload-004,320,780,48,28,760,8900,5100,0.75
product-reference-upload-005,390,950,63,36,930,9100,5350,0.79
product-reference-upload-006,450,1120,72,44,1105,9300,5700,0.82
product-reference-upload-007,520,1280,82,51,1260,9450,5900,0.86
product-reference-upload-008,610,1500,94,61,1485,9600,6150,0.88
product-reference-upload-009,690,1710,108,70,1690,9800,6400,0.91
product-reference-upload-010,760,1880,116,76,1860,9950,6650,0.94
